dia_de_semana,hora,linea,estacion,trx_promedio
False,5,C,LAVALLE,3.4444444444444446
False,5,C,MARIANO MORENO,1.0909090909090908
False,5,C,RETIRO,7.379310344827586
False,5,C,SAN JUAN,3.875
False,5,D,9 DE JULIO,2.142857142857143
False,5,D,AGÃÂÃÂ¼ERO,2.0
False,5,D,BULNES,1.5
False,5,D,CALLAO,1.0
False,5,D,CATEDRAL,2.2142857142857144
False,5,D,CONGRESO DE TUCUMAN,1.6101694915254237
False,5,D,FACULTAD DE MEDICINA,1.3333333333333333
False,5,D,JOSE HERNANDEZ,1.7777777777777777
False,5,D,JURAMENTO,1.5454545454545454
False,5,D,MINISTRO CARRANZA,2.0
False,5,D,OLLEROS,1.9090909090909092
False,5,D,PALERMO,3.533333333333333
False,5,D,PLAZA ITALIA,3.5
False,5,D,PUEYRREDON.D,1.4
False,5,D,SCALABRINI ORTIZ,1.3076923076923077
False,5,D,TRIBUNALES,2.0
False,5,E,AVENIDA LA PLATA,1.6923076923076923
False,5,E,BOEDO,1.8333333333333333
False,5,E,BOLIVAR,1.4615384615384615
False,5,E,CATALINAS,1.0
False,5,E,CORREO CENTRAL,1.5833333333333333
False,5,E,EMILIO MITRE,1.4
False,5,E,ENTRE RIOS,2.4285714285714284
False,5,E,GENERAL BELGRANO,4.0
False,5,E,INDEPENDENCIA.H,1.5714285714285714
False,5,E,JOSE MARIA MORENO,1.8461538461538463
False,5,E,JUJUY,2.5
False,5,E,MEDALLA MILAGROSA,2.0
False,5,E,PICHINCHA,1.3333333333333333
False,5,E,PZA. DE LOS VIRREYES,6.615384615384615
False,5,E,RETIRO E,1.3636363636363635
False,5,E,SAN JOSE,1.5
False,5,E,URQUIZA,1.3333333333333333
False,5,E,VARELA,1.0
False,5,H,CASEROS,2.111111111111111
False,5,H,CORDOBA,1.4
False,5,H,CORRIENTES,1.4
False,5,H,FACULTAD DE DERECHO,1.1666666666666667
False,5,H,HOSPITALES,4.388888888888889
False,5,H,HUMBERTO I,3.0
False,5,H,INCLAN,1.5
False,5,H,LAS HERAS,3.5454545454545454
False,5,H,ONCE,2.230769230769231
False,5,H,PATRICIOS,3.9166666666666665
False,5,H,SANTA FE,2.142857142857143
False,5,H,VENEZUELA,1.6363636363636365
False,6,A,ACOYTE,3.589041095890411
False,6,A,ALBERTI,2.6842105263157894
False,6,A,CARABOBO,2.674698795180723
False,6,A,CASTRO BARROS,3.4814814814814814
False,6,A,CONGRESO,4.728813559322034
False,6,A,FLORES,4.628571428571429
False,6,A,LIMA,3.096774193548387
False,6,A,LORIA,3.9464285714285716
False,6,A,PASCO,1.6451612903225807
False,6,A,PERU,2.8833333333333333
False,6,A,PIEDRAS,3.4
False,6,A,PLAZA DE MAYO,7.34
False,6,A,PLAZA MISERERE,4.660194174757281
False,6,A,PRIMERA JUNTA,6.303571428571429
False,6,A,PUAN,3.234042553191489
False,6,A,RIO DE JANEIRO,4.64
False,6,A,SAENZ PEÃÂÃÂ±A ,2.836734693877551
False,6,A,SAN PEDRITO,5.645669291338582
False,6,B,ANGEL GALLARDO,4.543859649122807
False,6,B,CALLAO.B,5.138461538461539
False,6,B,CARLOS GARDEL,5.027397260273973
False,6,B,CARLOS PELLEGRINI,9.348484848484848
False,6,B,DORREGO,3.5789473684210527
False,6,B,ECHEVERRIA,2.282608695652174
False,6,B,FEDERICO LACROZE,6.413793103448276
False,6,B,FLORIDA,2.176470588235294
False,6,B,LEANDRO N. ALEM,8.647727272727273
False,6,B,LOS INCAS,3.7457627118644066
False,6,B,MALABIA,4.926470588235294
False,6,B,MEDRANO,8.151515151515152
False,6,B,PASTEUR,2.6551724137931036
False,6,B,PUEYRREDON,3.3972602739726026
False,6,B,ROSAS,6.095588235294118
False,6,B,TRONADOR,3.8378378378378377
False,6,B,URUGUAY,2.1076923076923078
False,6,C,AVENIDA DE MAYO,5.694444444444445
False,6,C,CONSTITUCION,22.95940959409594
False,6,C,DIAGONAL NORTE,2.088235294117647
False,6,C,GENERAL SAN MARTIN,2.5384615384615383
False,6,C,INDEPENDENCIA,10.072727272727272
False,6,C,LAVALLE,5.527777777777778
False,6,C,MARIANO MORENO,2.161290322580645
False,6,C,RETIRO,15.2734375
False,6,C,SAN JUAN,3.918918918918919
False,6,D,9 DE JULIO,2.2285714285714286
False,6,D,AGÃÂÃÂ¼ERO,5.657894736842105
False,6,D,BULNES,4.285714285714286
False,6,D,CALLAO,3.8
False,6,D,CATEDRAL,3.96875
False,6,D,CONGRESO DE TUCUMAN,3.3934426229508197
False,6,D,FACULTAD DE MEDICINA,3.2467532467532467
False,6,D,JOSE HERNANDEZ,3.0535714285714284
False,6,D,JURAMENTO,2.768292682926829
False,6,D,MINISTRO CARRANZA,4.781818181818182
False,6,D,OLLEROS,3.4464285714285716
False,6,D,PALERMO,11.887096774193548
False,6,D,PLAZA ITALIA,9.108108108108109
False,6,D,PUEYRREDON.D,3.9444444444444446
False,6,D,SCALABRINI ORTIZ,4.589285714285714
False,6,D,TRIBUNALES,2.933333333333333
False,6,E,AVENIDA LA PLATA,2.8285714285714287
False,6,E,BOEDO,4.708333333333333
False,6,E,BOLIVAR,2.42
False,6,E,CATALINAS,1.4594594594594594
False,6,E,CORREO CENTRAL,2.2542372881355934
False,6,E,EMILIO MITRE,5.12
False,6,E,ENTRE RIOS,4.176470588235294
False,6,E,GENERAL BELGRANO,4.0
False,6,E,INDEPENDENCIA.H,4.148936170212766
False,6,E,JOSE MARIA MORENO,4.12
False,6,E,JUJUY,4.12
False,6,E,MEDALLA MILAGROSA,2.1578947368421053
False,6,E,PICHINCHA,3.5185185185185186
False,6,E,PZA. DE LOS VIRREYES,8.307692307692308
False,6,E,RETIRO E,1.9444444444444444
False,6,E,SAN JOSE,5.0
False,6,E,URQUIZA,3.48
False,6,E,VARELA,4.269230769230769
False,6,H,CASEROS,4.5
False,6,H,CORDOBA,4.121212121212121
False,6,H,CORRIENTES,2.7941176470588234
False,6,H,FACULTAD DE DERECHO,1.325
False,6,H,HOSPITALES,14.753623188405797
False,6,H,HUMBERTO I,6.142857142857143
False,6,H,INCLAN,7.346153846153846
False,6,H,LAS HERAS,5.431818181818182
False,6,H,ONCE,9.91139240506329
False,6,H,PATRICIOS,11.537037037037036
False,6,H,SANTA FE,3.064516129032258
